boardId,suggId,timestamp,suggestionText,type,grouping,studyType,topicTask,opened,suggestionsQueried
o9J_lwT0kWk=,-MjpK79eCnJ_FN4y6JFo,2021-09-17 19:56:01.534923,Sub-orbital space tourism,Note,Note,On Board,Space Travel,1,1
o9J_lwT0kWk=,-MjpKUjFyrbmHVU1MCg9,2021-09-17 19:57:38.077856,Billionaire space race,Line,Line,On Board,Space Travel,1,1
o9J_lwT0kWk=,-MjpLNzUbe93hoUvzugx,2021-09-17 20:01:32.580492,Outer Space Treaty,Note,Note,On Board,Space Travel,1,1
o9J_lwT0kWk=,-MjpLUWsAYQ1hevRXrGt,2021-09-17 20:01:59.377991,Climate change rocket emissions,Note,Note,On Board,Space Travel,1,0
o9J_lwT0kWk=,-MjpLU_O4EeH0VD4Q6we,2021-09-17 20:01:59.377991,Space economy,Note,Note,On Board,Space Travel,1,0
o9J_lwT0kWk=,-MjpN8VuQv3qCTDws9D_,2021-09-17 20:09:13.483618,Outer Space Treaty,Note,Note,On Board,Space Travel,1,1
o9J_lwT0kWk=,-MjpNXdWdGV9uKwbQH21,2021-09-17 20:10:56.417031,Space-based solar power,Note,Note,On Board,Space Travel,1,0
o9J_lwT0kWk=,-MjpNkl3zFQaaamFqy6M,2021-09-17 20:11:54.266761,Space hotels,Note,Note,On Board,Space Travel,1,0
o9J_lwT0kWk=,-MjpO5uMpYMjXMBf3Z2s,2021-09-17 20:13:24.972632,Space safety,Note,Note,On Board,Space Travel,1,0
o9J_lwT0kWk=,-MjpOB7-2KqJ9KJQPwBU,2021-09-17 20:13:46.321660,SpaceX resusable rocket development,Note,Note,On Board,Space Travel,1,0
o9J_lwT0kWk=,-MjpPMcB99xTWollsvWR,2021-09-17 20:18:55.590550,The Wolf Amendment,Note,Note,On Board,Space Travel,1,0
o9J_lwT0kWk=,-MjpR34NZfkX-mehdzC1,2021-09-17 20:26:19.826091,Aurora Station,Note,Note,On Board,Space Travel,0,0
o9J_lwT0kWk=,-MjpR38SZQAwQkxvNHWr,2021-09-17 20:26:19.826091,Bigelow Aerospace,Note,Note,On Board,Space Travel,0,0
o9J_lwT0kWk=,-MjpRHVBf0gf969UJkpm,2021-09-17 20:27:18.884530,Space industry,Note,Note,On Board,Space Travel,0,0
o9J_lwT45Gc=,-MjzMRtCYI3IQ3qDZeAA,2021-09-19 18:42:22.868095,Road-killing,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzMRwzb9EnOh6YwdvK,2021-09-19 18:42:22.868095,Tourism,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzMS-SU5ON7WNatE1f,2021-09-19 18:42:22.868095,Biomedical waste,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzMaaDnxQ--OzRjJNw,2021-09-19 18:43:02.610280,Air pollution ozone spikes,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzMadvQT0JG8w_GuHx,2021-09-19 18:43:02.610280,Air pollution CO2,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzMgqSyM1mY_t_th6V,2021-09-19 18:43:28.241854,noise pollution,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzMgu5v-CCPklURnRp,2021-09-19 18:43:28.241854,Plastic pollution,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzS81iB8lGhbYT5vgG,2021-09-19 19:07:14.445436,Manufacturing and food industry,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzS85IvdByHxzBG68H,2021-09-19 19:07:14.445436,E-commerce,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzS88jy3x1jtsF_2px,2021-09-19 19:07:14.445436,Wildlife conservation and management,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzSNVi8iyj8eNMfA2D,2021-09-19 19:08:17.806073,Business Act On Climate Pledge,Note,Note,On Board,COVID-19,1,1
o9J_lwT45Gc=,-MjzSNZFcI6SCrVOizkR,2021-09-19 19:08:17.806073,Paris Agreement,Note,Note,On Board,COVID-19,1,0
o9J_lwT45Gc=,-MjzS_6jmZSM-YUED9SG,2021-09-19 19:09:09.442605,Decreased transport,Cross-Pollination,Line,On Board,COVID-19,1,0
o9J_lwT45Gc=,-MjzS_AgZMWsjkQC2Esl,2021-09-19 19:09:09.442605,Ecotourism,Cross-Pollination,Line,On Board,COVID-19,1,1
